username,user id,access hash,name,group,group id
trannoytennyson,1081873080,-2328180608594582250,Fidlex TIKPA,TwentyONE Crypto,1370712701
FXMASTERPRO,1281678379,5522116935583894395,FXMASTERPRO,TwentyONE Crypto,1370712701
,1225533626,2724588659697209550,Fghhhgg,TwentyONE Crypto,1370712701
FBMadmin,784576518,-5708769386704249348,Fashion Business Management,TwentyONE Crypto,1370712701
RF189,1452838494,3373095914813132841,F,TwentyONE Crypto,1370712701
Tjah_foeart,1255910080,-7393239902367351978,Tjah,TwentyONE Crypto,1370712701
,1365426914,-1705189338668034914,fanny,TwentyONE Crypto,1370712701
,1480931956,-6957936841501450942,freng,TwentyONE Crypto,1370712701
,1359881907,-8371941825158444172,FRANCO maria,TwentyONE Crypto,1370712701
HERRMAINN,783842073,3689517883351522546,FAUSTO SILVA,TwentyONE Crypto,1370712701
Sonotuamadreotuopadre,1365338612,-932130684562504064,∆ndrea~ᵀᵒᵒᴿ×FʳᵃˢᵏA×MᶦⁿᶜA×ᴶᵉˢᵒᵒ~∆,TwentyONE Crypto,1370712701
jaenuri_ca,911436651,-2198989695437725976,Jaenuri fly,TwentyONE Crypto,1370712701
,883354394,-5007354376956282992,Nurul Fitriani,TwentyONE Crypto,1370712701
,1032514462,3145210474504006142,Annisa fatia,TwentyONE Crypto,1370712701
Ceng63,1048462628,4485256941060555924,Aceng Fikri,TwentyONE Crypto,1370712701
,1134813189,-3972136770841074891,Haris Fadillah,TwentyONE Crypto,1370712701
,1161332290,-2177280977697931552,Siti Fatimah,TwentyONE Crypto,1370712701
,1242126447,6927133674049261050,Fiona Aulia,TwentyONE Crypto,1370712701
frisga,800713249,-4442278038284330068,Frisga Andriana Johan,TwentyONE Crypto,1370712701
,946669146,-4536462857831236247,Rany Firda96,TwentyONE Crypto,1370712701
,1212783893,-5346710928627213040,Arjun Fiqri Adrillah,TwentyONE Crypto,1370712701
dqwe34,1432075179,-5488159771483017514,fajar lesmana,TwentyONE Crypto,1370712701
Franciszek3213,1301854253,4483826930078800632,Franciszek,TwentyONE Crypto,1370712701
,1222591324,5541663137479823828,Flynn,TwentyONE Crypto,1370712701
Samy009,926931114,8914319996902763535,Ahmed Fetrosh,TwentyONE Crypto,1370712701
fradillara,1097854324,-234802117796741677,Fradilla R.A,TwentyONE Crypto,1370712701
Feed18,1216156408,-6663292273457145278,Feed,TwentyONE Crypto,1370712701
Fernando1890,1231431683,-3152359183964337567,Fernando,TwentyONE Crypto,1370712701
cuuuok,1376809400,-2978079053267414235,. franky,TwentyONE Crypto,1370712701
,707345857,-1151312402370557367,FOZILOV NEMAT,TwentyONE Crypto,1370712701
,835084208,-8694136073881934423,Fajar,TwentyONE Crypto,1370712701
